away_team,home_team,away_st_downs,home_st_downs,away_passing_st_downs,home_passing_st_downs,away_rushing_st_downs,home_rushing_st_downs,away_st_downs_from_penalties,home_st_downs_from_penalties,away_rd_down_efficiency,home_rd_down_efficiency,away_th_down_efficiency,home_th_down_efficiency,away_total_plays,home_total_plays,away_total_yards,home_total_yards,away_total_drives,home_total_drives,away_yards_per_play,home_yards_per_play,away_passing,home_passing,away_comp_att,home_comp_att,away_yards_per_pass,home_yards_per_pass,away_interceptions_thrown,home_interceptions_thrown,away_sacks_yards_lost,home_sacks_yards_lost,away_rushing,home_rushing,away_rushing_attempts,home_rushing_attempts,away_yards_per_rush,home_yards_per_rush,away_red_zone_made_att,home_red_zone_made_att,away_penalties,home_penalties,away_turnovers,home_turnovers,away_fumbles_lost,home_fumbles_lost,away_defensive_special_teams_tds,home_defensive_special_teams_tds,away_possession,home_possession,home_wins
0,15,18.0,15.0,12.0,11.0,5.0,3.0,1.0,1.0,0.4,0.3333333333333333,0.0,1.0,57.0,54.0,433.0,269.0,9.0,9.0,7.6,5.0,290.0,187.0,0.7586206896551724,0.65625,9.4,5.3,1.0,0.0,0.11764705882352941,0.11538461538461539,143.0,82.0,26.0,19.0,5.5,4.3,0.0,0.0,0.1511627906976744,0.12121212121212122,1.0,1.0,0.0,1.0,0.0,0.0,2047,1553,0
1,25,22.0,26.0,16.0,15.0,4.0,8.0,2.0,3.0,0.2,0.3333333333333333,1.0,0.0,63.0,70.0,356.0,428.0,12.0,15.0,5.7,6.1,293.0,314.0,0.5111111111111111,0.6,6.1,8.5,3.0,1.0,0.1875,0.10526315789473684,63.0,114.0,15.0,33.0,4.2,3.5,0.0,0.0,0.15789473684210525,0.14583333333333334,5.0,1.0,2.0,0.0,2.0,0.0,1472,2128,1
2,20,25.0,12.0,14.0,7.0,10.0,3.0,1.0,2.0,0.42105263157894735,0.15384615384615385,1.0,0.0,88.0,59.0,456.0,210.0,16.0,15.0,5.2,3.6,306.0,111.0,0.5178571428571429,0.34285714285714286,5.3,3.0,4.0,4.0,0.18181818181818182,0.2857142857142857,150.0,99.0,30.0,22.0,5.0,4.5,0.0,0.0,0.10909090909090909,0.08571428571428572,5.0,4.0,1.0,0.0,0.0,2.0,2158,1442,0
3,30,14.0,28.0,10.0,23.0,4.0,5.0,0.0,0.0,0.3333333333333333,0.4444444444444444,0.0,0.0,55.0,67.0,250.0,429.0,11.0,11.0,4.5,6.4,173.0,346.0,0.68,0.6666666666666666,6.0,7.1,0.0,3.0,0.16,0.1111111111111111,77.0,83.0,26.0,18.0,3.0,4.6,0.0,0.0,0.1076923076923077,0.1111111111111111,0.0,3.0,0.0,0.0,2.0,0.0,1806,1794,1
4,22,25.0,16.0,12.0,13.0,13.0,1.0,0.0,2.0,0.5,0.35714285714285715,0.0,0.5,67.0,61.0,390.0,284.0,10.0,11.0,5.8,4.7,228.0,264.0,0.7419354838709677,0.6744186046511628,7.1,5.9,0.0,1.0,0.125,0.25,162.0,20.0,35.0,16.0,4.6,1.3,0.0,0.0,0.15,0.1,0.0,2.0,0.0,1.0,2.0,0.0,1861,1739,0
5,29,21.0,22.0,17.0,13.0,4.0,9.0,0.0,0.0,0.5,0.6875,0.0,0.0,55.0,69.0,376.0,393.0,9.0,11.0,6.8,5.7,292.0,241.0,0.7419354838709677,0.6363636363636364,9.1,6.7,0.0,2.0,0.14285714285714285,0.17647058823529413,84.0,152.0,23.0,33.0,3.7,4.6,0.0,0.0,0.16666666666666666,0.08,0.0,3.0,0.0,1.0,0.0,0.0,1685,1915,0
6,24,22.0,24.0,13.0,17.0,7.0,2.0,2.0,5.0,0.26666666666666666,0.18181818181818182,1.0,1.0,71.0,64.0,459.0,358.0,13.0,12.0,6.5,5.6,306.0,326.0,0.7307692307692307,0.46153846153846156,10.9,6.0,0.0,2.0,0.14285714285714285,0.15384615384615385,153.0,32.0,43.0,10.0,3.6,3.2,0.0,0.0,0.09448818897637795,0.11214953271028037,0.0,3.0,0.0,1.0,0.0,1.0,2350,1250,0
7,31,20.0,21.0,13.0,15.0,6.0,5.0,1.0,1.0,0.6666666666666666,0.7142857142857143,1.0,0.0,58.0,63.0,390.0,384.0,12.0,10.0,6.7,6.1,195.0,266.0,0.5625,0.7037037037037037,6.1,9.9,3.0,1.0,0.0,0.0,195.0,118.0,26.0,36.0,7.5,3.3,0.0,0.0,0.17647058823529413,0.14705882352941177,4.0,1.0,1.0,0.0,0.0,3.0,1722,1878,1
8,18,15.0,19.0,7.0,15.0,6.0,3.0,2.0,1.0,0.2,0.4117647058823529,0.0,0.0,58.0,68.0,275.0,337.0,13.0,13.0,4.7,5.0,199.0,254.0,0.5555555555555556,0.6451612903225806,5.2,7.7,3.0,0.0,0.1,0.16666666666666666,76.0,83.0,20.0,35.0,3.8,2.4,0.0,0.0,0.08974358974358974,0.11428571428571428,4.0,0.0,1.0,0.0,1.0,0.0,1516,2084,1
9,19,22.0,21.0,13.0,16.0,6.0,2.0,3.0,3.0,0.2222222222222222,0.46153846153846156,0.0,0.0,62.0,61.0,377.0,324.0,13.0,11.0,6.1,5.3,191.0,279.0,0.7692307692307693,0.6818181818181818,6.4,5.9,0.0,1.0,0.2,0.125,186.0,45.0,32.0,14.0,5.8,3.2,0.0,0.0,0.12121212121212122,0.12987012987012986,0.0,1.0,0.0,0.0,0.0,1.0,1980,1620,0
